,Genre,Year,Movies Released,Gross,Tickets Sold
0,Adventure,1995,29,771507571.0,177358047
1,Adventure,1996,34,1290490033.0,291966054
2,Adventure,1997,23,881902843.0,192135684
3,Adventure,1998,29,1614467732.0,344236174
4,Adventure,1999,27,1612432107.0,317407880
5,Adventure,2000,30,1327311892.0,246254507
6,Adventure,2001,32,2268870844.0,400844935
7,Adventure,2002,45,2818919526.0,485184060
8,Adventure,2003,46,2424131447.0,402011823
10,Adventure,2005,43,2541162317.0,396437158
11,Adventure,2006,44,2743705092.0,418886249
12,Adventure,2007,41,2910182565.0,411094655
13,Adventure,2008,57,2910182565.0,343645676
14,Adventure,2009,49,2818706120.0,322117706
15,Adventure,2010,44,2910182565.0,372676939
16,Adventure,2011,51,2775702217.0,324520322
17,Adventure,2012,48,2910182565.0,412599414
18,Adventure,2013,40,2900376040.0,356747331
19,Adventure,2014,49,2734961640.0,334755123
24,Action,1995,29,1049544278.0,241274531
25,Action,1996,36,1222675745.0,276623456
26,Action,1997,36,1456612580.0,317344773
27,Action,1998,30,973161753.0,207497162
28,Action,1999,25,910203960.0,179173997
29,Action,2000,31,1266568598.0,234982623
30,Action,2001,31,1390622699.0,245693043
31,Action,2002,32,1394290142.0,239981075
32,Action,2003,36,2109404900.0,349818376
33,Action,2004,28,1068864943.0,172119948
34,Action,2005,41,1356922056.0,211688288
35,Action,2006,33,1050592286.0,160395751
36,Action,2007,38,1489960013.0,214202319
38,Action,2009,31,2041030428.0,237119885
39,Action,2010,31,1804202879.0,205215607
40,Action,2011,47,2117521464.0,243632546
42,Action,2013,45,2423174736.0,298053449
43,Action,2014,49,2603979395.0,318724501
45,Action,2016,61,2533249471.0,289951566
46,Action,2017,67,2910182565.0,368529372
48,Drama,1995,131,1525963099.0,350796050
49,Drama,1996,121,1373074715.0,310650329
50,Drama,1997,117,1198241550.0,261054747
51,Drama,1998,129,1577021454.0,335565112
52,Drama,1999,133,1458861532.0,287177397
53,Drama,2000,166,1749265350.0,324538950
54,Drama,2001,151,1377189931.0,243319703
55,Drama,2002,175,1601890899.0,275712631
