,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Tickets Sold Category
0,Adventure,1995,29,771507571.0,177358047,1590901682,Very Popular
1,Adventure,1996,34,1290490033.0,291966054,2618935504,Very Popular
2,Adventure,1997,23,881902843.0,192135684,1723457085,Very Popular
3,Adventure,1998,29,1614467732.0,344236174,3087798481,Very Popular
4,Adventure,1999,27,1612432107.0,317407880,2847148684,Very Popular
5,Adventure,2000,30,1327311892.0,246254507,2208902928,Very Popular
6,Adventure,2001,32,2268870844.0,400844935,3595579067,Very Popular
7,Adventure,2002,45,2818919526.0,485184060,4352101018,Very Popular
8,Adventure,2003,46,2424131447.0,402011823,3606046052,Very Popular
10,Adventure,2005,43,2541162317.0,396437158,3556041307,Very Popular
11,Adventure,2006,44,2743705092.0,418886249,3757409654,Very Popular
12,Adventure,2007,41,2910182565.0,411094655,3687519055,Very Popular
13,Adventure,2008,57,2910182565.0,343645676,3082501714,Very Popular
14,Adventure,2009,49,2818706120.0,322117706,2889395823,Very Popular
15,Adventure,2010,44,2910182565.0,372676939,3342912143,Very Popular
16,Adventure,2011,51,2775702217.0,324520322,2910947288,Very Popular
17,Adventure,2012,48,2910182565.0,412599414,3701016744,Very Popular
18,Adventure,2013,40,2900376040.0,356747331,3200023559,Very Popular
19,Adventure,2014,49,2734961640.0,334755123,3002753453,Very Popular
24,Action,1995,29,1049544278.0,241274531,2164232543,Very Popular
25,Action,1996,36,1222675745.0,276623456,2481312400,Very Popular
26,Action,1997,36,1456612580.0,317344773,2846582614,Very Popular
27,Action,1998,30,973161753.0,207497162,1861249543,Very Popular
28,Action,1999,25,910203960.0,179173997,1607190753,Very Popular
29,Action,2000,31,1266568598.0,234982623,2107794128,Very Popular
30,Action,2001,31,1390622699.0,245693043,2203866596,Very Popular
31,Action,2002,32,1394290142.0,239981075,2152630243,Very Popular
32,Action,2003,36,2109404900.0,349818376,3137870833,Very Popular
33,Action,2004,28,1068864943.0,172119948,1543915934,Very Popular
34,Action,2005,41,1356922056.0,211688288,1898843943,Very Popular
35,Action,2006,33,1050592286.0,160395751,1438749886,Very Popular
36,Action,2007,38,1489960013.0,214202319,1921394801,Very Popular
38,Action,2009,31,2041030428.0,237119885,2126965368,Very Popular
39,Action,2010,31,1804202879.0,205215607,1840783995,Very Popular
40,Action,2011,47,2117521464.0,243632546,2185383938,Very Popular
42,Action,2013,45,2423174736.0,298053449,2673539438,Very Popular
43,Action,2014,49,2603979395.0,318724501,2858958774,Very Popular
45,Action,2016,61,2533249471.0,289951566,2600865547,Very Popular
46,Action,2017,67,2910182565.0,368529372,3305708467,Very Popular
48,Drama,1995,131,1525963099.0,350796050,3146640569,Very Popular
49,Drama,1996,121,1373074715.0,310650329,2786533451,Very Popular
50,Drama,1997,117,1198241550.0,261054747,2341661081,Very Popular
51,Drama,1998,129,1577021454.0,335565112,3010019055,Very Popular
52,Drama,1999,133,1458861532.0,287177397,2575981251,Very Popular
53,Drama,2000,166,1749265350.0,324538950,2911114382,Very Popular
54,Drama,2001,151,1377189931.0,243319703,2182577736,Very Popular
55,Drama,2002,175,1601890899.0,275712631,2473142300,Very Popular
56,Drama,2003,174,1109221772.0,183950452,1650035554,Very Popular
57,Drama,2004,228,1380080888.0,222235135,1993449161,Very Popular
58,Drama,2005,266,1421398792.0,221746950,1989070142,Very Popular
59,Drama,2006,252,1566403106.0,239145382,2145134077,Very Popular
60,Drama,2007,249,1293722940.0,178970159,1605362326,Very Popular
61,Drama,2008,256,1089416918.0,137297291,1231556700,Very Popular
62,Drama,2009,196,1834368065.0,219737067,1971041491,Very Popular
63,Drama,2010,208,1688220533.0,195679977,1755249394,Very Popular
64,Drama,2011,244,1490251352.0,183601071,1646901607,Very Popular
65,Drama,2012,228,1670673352.0,209883469,1882654717,Very Popular
66,Drama,2013,231,1338302458.0,164612723,1476576125,Very Popular
67,Drama,2014,254,1648533596.0,201778765,1809955522,Very Popular
68,Drama,2015,287,2070185234.0,240584394,2158042014,Very Popular
69,Drama,2016,282,1360947564.0,156363340,1402579160,Very Popular
70,Drama,2017,253,1326577328.0,147890338,1326576332,Very Popular
71,Drama,2018,266,1631625937.0,181897975,1631624836,Very Popular
72,Comedy,1995,61,1048895722.0,241125423,2162895044,Very Popular
73,Comedy,1996,69,1041177912.0,235560580,2112978403,Very Popular
74,Comedy,1997,72,1296925200.0,282554475,2534513641,Very Popular
75,Comedy,1998,74,791406180.0,168743282,1513627240,Very Popular
76,Comedy,1999,69,1352538228.0,266247647,2388241394,Very Popular
77,Comedy,2000,79,1482623604.0,275069272,2467371370,Very Popular
78,Comedy,2001,88,1477683205.0,261074728,2341840310,Very Popular
79,Comedy,2002,82,1305574866.0,224711640,2015663411,Very Popular
80,Comedy,2003,82,1802604618.0,298939369,2681486140,Very Popular
81,Comedy,2004,120,1674423943.0,269633428,2418611849,Very Popular
82,Comedy,2005,129,1825866367.0,284846481,2555072935,Very Popular
83,Comedy,2006,125,1954939739.0,298464018,2677222241,Very Popular
84,Comedy,2007,134,1428122669.0,203009299,1820993412,Very Popular
85,Comedy,2008,125,2099450726.0,249134624,2234737577,Very Popular
86,Comedy,2009,87,1435281074.0,173140695,1553072034,Very Popular
