,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Tickets Sold Category
0,0,1995,29,771507571.0,177358047,1590901682,1
1,0,1996,34,1290490033.0,291966054,2618935504,1
2,0,1997,23,881902843.0,192135684,1723457085,1
3,0,1998,29,1614467732.0,344236174,3087798481,1
4,0,1999,27,1612432107.0,317407880,2847148684,1
5,0,2000,30,1327311892.0,246254507,2208902928,1
6,0,2001,32,2268870844.0,400844935,3595579067,1
7,0,2002,45,2818919526.0,485184060,4352101018,1
8,0,2003,46,2424131447.0,402011823,3606046052,1
10,0,2005,43,2541162317.0,396437158,3556041307,1
11,0,2006,44,2743705092.0,418886249,3757409654,1
12,0,2007,41,2910182565.0,411094655,3687519055,1
13,0,2008,57,2910182565.0,343645676,3082501714,1
14,0,2009,49,2818706120.0,322117706,2889395823,1
15,0,2010,44,2910182565.0,372676939,3342912143,1
16,0,2011,51,2775702217.0,324520322,2910947288,1
17,0,2012,48,2910182565.0,412599414,3701016744,1
18,0,2013,40,2900376040.0,356747331,3200023559,1
19,0,2014,49,2734961640.0,334755123,3002753453,1
24,1,1995,29,1049544278.0,241274531,2164232543,1
25,1,1996,36,1222675745.0,276623456,2481312400,1
26,1,1997,36,1456612580.0,317344773,2846582614,1
27,1,1998,30,973161753.0,207497162,1861249543,1
28,1,1999,25,910203960.0,179173997,1607190753,1
29,1,2000,31,1266568598.0,234982623,2107794128,1
30,1,2001,31,1390622699.0,245693043,2203866596,1
31,1,2002,32,1394290142.0,239981075,2152630243,1
32,1,2003,36,2109404900.0,349818376,3137870833,1
33,1,2004,28,1068864943.0,172119948,1543915934,1
34,1,2005,41,1356922056.0,211688288,1898843943,1
35,1,2006,33,1050592286.0,160395751,1438749886,1
36,1,2007,38,1489960013.0,214202319,1921394801,1
38,1,2009,31,2041030428.0,237119885,2126965368,1
39,1,2010,31,1804202879.0,205215607,1840783995,1
40,1,2011,47,2117521464.0,243632546,2185383938,1
42,1,2013,45,2423174736.0,298053449,2673539438,1
43,1,2014,49,2603979395.0,318724501,2858958774,1
45,1,2016,61,2533249471.0,289951566,2600865547,1
46,1,2017,67,2910182565.0,368529372,3305708467,1
48,2,1995,131,1525963099.0,350796050,3146640569,1
49,2,1996,121,1373074715.0,310650329,2786533451,1
50,2,1997,117,1198241550.0,261054747,2341661081,1
